year,unitid,inst_name,state_abbr,level_of_study,tuition_type,tuition_fees_ft
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In district","7532"
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In state","7532"
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","Out of state","16138"
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","In district","5510"
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","In state","5510"
"2016","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","Out of state","11726"
"2016","130907","Delaware Technical Community College-Terry","DE","Undergraduate","In district","3774"
"2016","130907","Delaware Technical Community College-Terry","DE","Undergraduate","In state","3774"
"2016","130907","Delaware Technical Community College-Terry","DE","Undergraduate","Out of state","8814"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","In district","12830"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","In state","12830"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","Out of state","32250"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Graduate","In district","31752"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Graduate","In state","31752"
"2016","130943","UNIVERSITY OF DELAWARE","DE","Graduate","Out of state","31752"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In district","7532"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In state","7532"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","Out of state","16138"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","In district","5510"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","In state","5510"
"2015","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","Out of state","11606"
"2015","130907","Delaware Technical Community College-Terry","DE","Undergraduate","In district","3215"
"2015","130907","Delaware Technical Community College-Terry","DE","Undergraduate","In state","3215"
"2015","130907","Delaware Technical Community College-Terry","DE","Undergraduate","Out of state","6548"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","In district","12520"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","In state","12520"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Undergraduate","Out of state","31420"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Graduate","In district","30924"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Graduate","In state","30924"
"2015","130943","UNIVERSITY OF DELAWARE","DE","Graduate","Out of state","30924"
"2014","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In district","7336"
"2014","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","In state","7336"
"2014","130934","DELAWARE STATE UNIVERSITY","DE","Undergraduate","Out of state","15692"
"2014","130934","DELAWARE STATE UNIVERSITY","DE","Graduate","In district","5354"
