year,unitid,inst_name,state_abbr,years_after_entry,earnings_greater_than_25k_pct,earnings_female_mean,earnings_male_mean
"2013","130934","DELAWARE STATE UNIVERSITY","DE","10","0.669","36900","36100"
"2013","130934","DELAWARE STATE UNIVERSITY","DE","8","0.635","",""
"2013","130934","DELAWARE STATE UNIVERSITY","DE","6","0.563","29500","29400"
"2013","130907","Delaware Technical Community College-Terry","DE","10","0.642","35800","41700"
"2013","130907","Delaware Technical Community College-Terry","DE","8","0.561","",""
"2013","130907","Delaware Technical Community College-Terry","DE","6","0.51","28000","28100"
"2013","130943","UNIVERSITY OF DELAWARE","DE","10","0.872","56000","69000"
"2013","130943","UNIVERSITY OF DELAWARE","DE","8","0.853","",""
"2013","130943","UNIVERSITY OF DELAWARE","DE","6","0.814","44800","46700"
"2012","130934","DELAWARE STATE UNIVERSITY","DE","10","0.656","37000","35000"
"2012","130934","DELAWARE STATE UNIVERSITY","DE","8","0.623","",""
"2012","130934","DELAWARE STATE UNIVERSITY","DE","6","0.527","28300","28200"
"2012","130907","Delaware Technical Community College-Terry","DE","10","0.62","32900","37400"
"2012","130907","Delaware Technical Community College-Terry","DE","8","0.58","",""
"2012","130907","Delaware Technical Community College-Terry","DE","6","0.482","28300","26800"
"2012","130943","UNIVERSITY OF DELAWARE","DE","10","0.869","55900","67000"
"2012","130943","UNIVERSITY OF DELAWARE","DE","8","0.843","",""
"2012","130943","UNIVERSITY OF DELAWARE","DE","6","0.793","43200","44600"
"2011","130934","DELAWARE STATE UNIVERSITY","DE","10","0.657559","36700","35300"
"2011","130934","DELAWARE STATE UNIVERSITY","DE","8","0.600753","",""
"2011","130934","DELAWARE STATE UNIVERSITY","DE","6","0.522609","27300","28300"
"2011","130907","Delaware Technical Community College-Terry","DE","10","0.577778","30500","37900"
"2011","130907","Delaware Technical Community College-Terry","DE","8","0.616915","",""
"2011","130907","Delaware Technical Community College-Terry","DE","6","0.472993","27500","29200"
"2011","130943","UNIVERSITY OF DELAWARE","DE","10","0.857181","55700","63600"
"2011","130943","UNIVERSITY OF DELAWARE","DE","8","0.846597","",""
"2011","130943","UNIVERSITY OF DELAWARE","DE","6","0.791906","43400","45200"
"2010","130934","DELAWARE STATE UNIVERSITY","DE","9","0.645736","",""
"2010","130934","DELAWARE STATE UNIVERSITY","DE","7","0.56935","",""
"2010","130907","Delaware Technical Community College-Terry","DE","9","0.567468","",""
"2010","130907","Delaware Technical Community College-Terry","DE","7","0.567921","",""
"2010","130943","UNIVERSITY OF DELAWARE","DE","9","0.850478","",""
"2010","130943","UNIVERSITY OF DELAWARE","DE","7","0.821806","",""
"2009","130934","DELAWARE STATE UNIVERSITY","DE","10","0.715742","40300","42800"
"2009","130934","DELAWARE STATE UNIVERSITY","DE","8","0.629417","",""
"2009","130934","DELAWARE STATE UNIVERSITY","DE","6","0.566327","29100","29000"
"2009","130907","Delaware Technical Community College-Terry","DE","10","0.618834","31700","40300"
"2009","130907","Delaware Technical Community College-Terry","DE","8","0.561111","",""
"2009","130907","Delaware Technical Community College-Terry","DE","6","0.564648","30800","32500"
"2009","130943","UNIVERSITY OF DELAWARE","DE","10","0.871733","57300","68700"
"2009","130943","UNIVERSITY OF DELAWARE","DE","8","0.837209","",""
"2009","130943","UNIVERSITY OF DELAWARE","DE","6","0.797589","44300","48200"
