"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203335195.530726","206810055.865922","262463687.150838","291620111.731844","267882681.564246","296480446.927374","305515642.458101","296703351.955307","339418994.413408","392163687.150838","431287150.837989","474557541.899441","496345810.055866","495007262.569832","404204469.273743","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","48102476212.9116","52998472921.8994","46849318034.0731","37067465566.9634","42499344624.3303","53053106992.6971","58007101839.8498","61221745873.2478","70973636535.0399","73376777862.9779","69582990717.0084","66452399112.2007","67857261074.5213","74882086168.0465","74737758018.3568","75934721420.5481","69187996642.0405","67849541797.9854","76360269071.0148","69479844687.6419","72720773385.5006","94175160832.2171","118697863748.945","143455715222.267","161440965239.655","193034576476.114","217120963444.662","190436611782.292","234582678111.876","272977526208.988","272589231456.915","271371848239.66","270766260447.609","229263307218.137","215854023859.205","250375580223.113","262953888362.403","263388555770.016","236996776076.282","279621162575.367",
"Afghanistan","AFG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","965543405.088934","1025522428.00579","1370816288.90916","1664800141.445","1966653210.75191","2620448527.43316","2720982976.69379","2718781958.27531","3353912798.55545","4048927677.94701","4211951754.28412","4118852986.2879","4351470982.70287","4233261140.89528","1896225753.93281","1885075137.28168","2416830294.07246","2642847910.32118","2822635859.31995","",
"Africa Western and Central","AFW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","82932947831.5125","66422562387.9481","47651011399.8013","36250007975.5504","39796630141.3535","33695168375.744","33891112479.4752","32304501665.6668","31904990886.61","39687623656.8069","38144739824.5586","38106844359.804","29366964734.9595","26489869686.0532","35442272799.5095","40624506441.1951","40148847126.183","35436032677.6476","38761853804.1533","45085532780.5346","41602795265.0498","44781439489.6469","55822056703.0466","74576407670.0383","89822304489.9499","108220839413.016","121738244704.844","155299085957.895","122226100853.184","158474786514.008","199334355426.345","211762960640.587","231901870887.676","232724709039.95","172013710262.193","145251300112.233","164979371169.971","196081438624.784","215667118345.346","214612986251.228","243750249778.028",
"Angola","AGO","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3339044727.78043","5104486961.84217","4646981368.98164","3588659887.19731","4474243884.62729","6584533557.40262","5798058745.39281","8571519055.73602","9461574027.93062","12866467697.453","22331171893.6978","30438252763.2232","40389189578.1431","53348780922.8957","30974788503.962","42784781057.8824","61313473480.6081","71146725509.8644","71186895654.2539","63411485277.5639","36573745297.6897","21253764896.6206","29084403147.5887","37287355630.5025","34488848711.1917","24519476998.3329","31474580249.4369",
"Albania","ALB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555900588.427247","409011588.275392","390725059.539561","531180304.127444","675038886.728515","852498955.868022","1004680718.3179","1349879571.14245","1772143145.16522","2019589407.46148","2251420440.0663","2705669378.5878","3241078686.82847","2940446271.29833","2974271840.45674","3156236434.02401","2823526910.58399","2946364692.83386","2845221843.00341","2478197737.88382","2507690758.60402","2650596137.69941","3225183629.47406","3175800333.72538","3027675952.1399","3984084310.27821",
"Andorra","AND","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369146719.594368","366005321.146728","",
"Arab World","ARB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","89376233888.2336","114972828490.417","128916746578.423","131547308575.989","197972880302.033","294655746880.737","291006886373.649","234235144885.101","190365214030.495","183187734962.038","168060098554.891","139729822718.847","155192970888.663","152541851636.25","171984676801.656","358068854354.801","183346183885.502","197335948957.427","188753902220.779","196564345149.609","225792199758.31","260816269433.226","287760700978.099","251854985190.505","306273567202.448","400731377646.06","369922694984.863","370588302632.672","415034171471.902","515265284582.197","682471028505.859","829665354372.773","940744896442.076","1240099579667.66","911990463963.887","1129347422615.48","1357760173289.8","1507725505487.64","1478036611137.17","1422233175318.39","1009475438910.02","941880533259.551","1035258353841.67","1247286117526.05","1195816750652.99","925876781527.222","1229813972570.44",
"United Arab Emirates","ARE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","10892636255.7746","13797778958.2859","16908257115.7738","16181545773.9202","22281101763.7655","31680422937.908","33725960228.8205","29443203486.7883","26283029147.3713","26259874693.544","24870607463.9063","17703078180.3323","19895668755.1076","19231272132.9338","22837646445.1103","29864342141.106","24115227458.4582","29993189866.5214","28635794061.5636","27434758921.2749","29943067284.1188","34112775810.4059","35815309180.0599","30287542545.9496","35484547311.096","50621375085.0919","51321443158.6113","52212933968.6862","61080190605.8543","76393192648.0599","100501837985.024","128612389380.531","141441797140.912","183031994554.118","131958611300.204","152227846364.249","203511149586.19","215199137962.545","214583134579.168","212713726955.007","157199290777.301","147990425315.927","164170098455.475","198580097019.388","185492637069.049","146658074469.287","",
"Argentina","ARG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","13722940987.1061","14202380230.1166","11493637302.0691","12434857435.1661","14811143096.9913","13353421858.1536","15299799237.7058","15831874374.4985","22779001001.4911","31577221374.0778","26293432187.1428","26042050144.5194","27144799968.9717","26774837040.4459","30490501123.1548","31723447656.8833","31736843039.9318","34652778710.3286","43209876321.0791","31406000793.3823","34726667543.9361","41467777149.132","42030000333.6516","48572726893.3543","32454050322.8141","50917782540.73","62081175458.8359","70201396123.5615","64722201101.1011","68876935900","67865473300","72371587300","79596589500","79855462400","74264967000","73866930600","67828286700","29862244294.3788","41650893934.7656","47449347396.6465","56891104939.9563","67914347258.316","78827167842.031","94990190458.2193","84190456294.3594","107003102712.487","133668465000.852","133378346124.392","132518500700.684","127776703489.575","137702635919.615","122958567447.25","140195988951.077","124485103498.843","108913645797.636","90818417075.8954","122199828606.379",
"Armenia","ARM","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2955048237.27362","2970437645.88013","2933785792.35708","2713125862.72591","2697399020.41299","2975183151.01786","3084157594.8383","3400956113.40401","3420107895.78676","3732913035.71074",
"American Samoa","ASM","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","8936229.62962963","9119388.14814815","12640255.9259259","17170822.962963","19683325.5555556","17116361.8518519","18617224.0740741","22746464.4444444","28260013.7037037","37634077.7777778","46541455.5555556","56751371.1111111","66924110.3703704","63911111.1111111","70159259.2592593","67314814.8148148","68007407.4074074","73829629.6296296","73288888.8888889","77614814.8148148","85166666.6666667","92137037.037037","103525925.925926","114788888.888889","103122222.222222","106244444.444444","113655555.555556","120055555.555556","148518518.518519","213614814.814815","232896296.296296","262011111.111111","239044444.444444","186137037.037037","165307407.407407","171418518.518519","185277777.777778","202314814.814815","219992592.592593","257700000","282155555.555556","338966666.666667","357133333.333333","289174074.074074","322014814.814815",
