"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33251396.6480447","34636871.5083799","37944134.0782123","46530726.2569832","62011173.1843575","73480446.9273743","74039106.1452514","74597765.3631285","75156424.5810056","75715083.7988827","76273743.0167598","76832402.2346369","77391061.452514","77949720.6703911","78508379.8882682","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","3935126576.65574","4250502103.33483","4634020597.74274","5047228017.39575","5747294552.29853","6417174914.42987","6923669163.01587","7239347809.64601","9791652578.52525","12079486654.3804","13525040312.0966","13260904873.2011","13690795479.6438","15368649257.0673","19399833402.4468","26848809298.029","30221119591.9194","27549963572.704","29830862797.5615","26440757167.0583","19932625912.4256","22965011094.5555","30097104493.3646","33372078075.8933","36079752878.504","42344548377.0329","43900533013.301","42318265161.7937","39879906704.8203","40453850142.3393","45605386199.516","43579283953.6982","45082977720.2126","41181999471.2009","38886743931.986","41590658560.078","38050101676.9849","37745761096.0289","51306551815.6718","63399346419.3286","69662175862.9297","70461324216.774","78563082017.7543","79382765505.3895","82882562164.4224","95298564863.6863","101067439820.569","99677121954.7795","97321462958.2663","98041804940.8289","92229513062.8797","88171560626.2131","100690813334.543","106543750706.37","108182120993.375","96565172510.4272","111239130155.45",
"Afghanistan","AFG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","763296400.347276","764207132.409789","917509079.15331","1030605839.94552","1142282594.23947","1729986352.70114","1803410708.60763","1632709857.54824","1985664761.99626","2453400231.58133","2485644557.19129","2316809831.46018","2352575671.46601","2185128132.42322","745350999.293362","662076704.130997","1112110873.75974","1324079358.03347","1544166371.11306","",
"Africa Western and Central","AFW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","45672328798.8556","40083898984.1697","28993658973.7332","19554523239.8054","23322344087.2807","19325183301.4324","17504522787.5475","18264152360.6494","15184562478.4589","18193848987.6613","17892522981.1721","16893855147.2448","13874785347.5221","13454283965.9188","16721574595.4193","17951559286.4502","18876423526.2509","18078822689.6907","18715561758.5021","17674403713.0314","18587960665.8286","20443799709.7678","23753941881.2127","27428930317.4223","32400666175.8565","37792393353.2923","43740704537.0866","53111981591.3913","46643647278.6188","47800373321.6097","58334016707.9463","63076089167.6416","81593101511.574","89768899075.8876","76686380752.8275","66364602876.0711","67397468019.7717","77513877135.2148","89599485152.1626","93687410796.0639","110068056615.809",
"Angola","AGO","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201958350.470591","259342533.481708","334875882.351015","407249039.003883","198301063.225514","263860200.804189","346102756.83542","559731834.450565","712475155.583376","1102692322.60891","1446628995.71014","1892429279.77643","2218727582.29137","3064973678.38856","3592289537.64235","3710609227.49162","4561100936.59865","5504030826.4196","6439752067.60634","6537049859.06502","4958542934.34492","3365569441.9601","4538786971.06301","4713839269.71477","4253808468.0246","3693883842.97888","4344298741.79692",
"Albania","ALB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155437042.877963","103517382.413088","120269912.675311","145590152.063722","150276373.534804","160768481.136016","176816057.456316","231427088.171808","300144345.119245","356372214.762547","436345733.175405","565555542.03957","643783986.096841","626007469.090243","650270789.817264","729861897.125549","568493365.94438","646451378.452756","704503223.359879","645807416.063772","674241295.28566","801771620.486986","929583699.110652","963568581.202868","913668707.777266","1137448997.29521",
"Andorra","AND","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115910390.740867","107937532.294239","",
"Arab World","ARB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","12563582801.4131","14722197692.4208","17032788979.1799","19048115118.316","25106086532.7351","31270882507.6352","36998542159.8719","37278856795.6647","39382753040.2295","43714188942.16","44199779997.9948","44776542547.9323","50941128154.5095","55104769007.6989","58153495487.131","62659984484.9029","52675437635.5793","53353171364.7811","53944811437.4326","57282977249.1164","64770334638.4056","71961255841.2018","78216814385.2236","78853962021.5562","84921041715.728","98486688556.373","100397618792.559","102670708398.177","117174530777.731","136164752607.696","162151179076.797","184343132863.18","207464343486.472","254087864256.374","219610760776.749","256955309105.787","296603075445.301","318599307202.063","318528315449.967","327862372739.832","292052983248.27","287603656481.703","290178545718.669","317431199299.373","313429805223.682","288721847342.807","342560114147.424",
"United Arab Emirates","ARE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","134046903.794209","215780020.743214","682499423.564676","816026038.437694","954739628.377493","1625397852.94276","3163443203.48679","3695723236.17543","3753745573.41324","3823208934.89512","3624897847.99782","2809043857.2596","3192590574.77527","3207028057.74993","3386270770.90711","3799509670.38954","3826750204.304","4113320621.08417","4363116317.07981","3906837374.01253","4452465268.31926","4883138109.50695","6224734404.79433","6531518039.48264","7226412525.52757","9465486725.66372","13754663036.079","14345813478.5568","15247923757.6583","17018107556.1607","19159972770.5922","21449693669.1627","23278420694.3499","27131654186.5214","23314635806.6712","23036890963.0023","27012249237.8546","28724405606.8539","29376532981.3639","31297735851.047","31635157939.3623","32078405692.8063","35300307308.8","36874130173.8905","36661402870.5214","34752038142.2851","",
"Argentina","ARG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","11673529107.6107","11740952532.9704","9174848543.83873","9569142702.49225","11453999979.0931","9963158196.14402","11906599839.0298","12628249874.21","18040443689.3239","24655222754.2397","20039486085.9997","20015850633.0864","20778999454.2837","19822294944.7923","22635232910.6023","22685371287.1712","22631579613.8817","26439043921.3852","31889838392.5678","23497000593.5842","26208333995.4115","30417777316.6485","30550476432.9985","35337499723.9996","23718638577.0212","37867881956.1752","46265967383.3246","50011204825.3584","43181479379.3794","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","19884659444.7571","28690164511.4211","31181294718.6206","36449209845.7969","41576107685.8108","49016520323.1183","59795791835.7078","51890313730.722","67123175368.3781","84034582759.5436","83081051122.8397","82864793306.4051","77752039861.1526","84344878153.7785","75199976819.6664","82610822685.9147","73790408467.6989","65522179692.1569","59877052053.3264","81585178748.0248",
"Armenia","ARM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000845272.34894","1076844299.56421","1122222601.56886","971558318.649861","1084633087.76365","1225498657.18256","1404249050.54557","1595022199.20653","1565705654.84595","1571360343.01368",
"American Samoa","ASM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109000000","108000000","79000000","68000000","67000000","77000000","112000000","163000000","41000000","21000000","89000000","93000000","77000000","94000000","92000000","67000000","89000000","79000000","","",
"Antigua and Barbuda","ATG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","2642901.48148148","3332353.7037037","4098412.22222222","5247499.62962963","5592225.92592593","6434890.37037037","6741313.7037037","7388632.96296296","7756340.74074074","8235127.40740741","8821162.22222222","9231003.33333333","10257521.4814815","11570370.3703704","10937037.037037","10281481.4814815","9766666.66666667","9962962.96296296","9888888.88888889","10288888.8888889","11177777.7777778","12144444.4444444","12940740.7407407","13481481.4814815","13929629.6296296","14800000","16311111.1111111","17066666.6666667","18325925.9259259","21044444.4444444","22244444.4444444","21762962.962963","25318518.5185185","24770370.3703704","25555555.5555556","25318518.5185185","32362962.962963","34429629.6296296","35862962.962963","39181481.4814815","36562962.962963","39740740.7407407","38859259.2592593","33307407.4074074","34129629.6296296",
"Australia","AUS","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42942670257.7915","40965387332.2345","40945935553.3338","40180578976.9533","42626772742.9955","48284080784.0808","51108497723.824","53560807638.128","49808722783.694","46508334377.7416","48082647742.2596","41672748738.8644","41729803264.9644","50768782760.629","66834542609.1905","71835062396.6321","73948787061.9946","79338148700.6359","97094897045.658","78452363422.1764","91773099621.2455","103005028098.196","109035883687.358","104169488047.604","93460020196.4565","85083617605.458","73432814092.2987","76942454182.065","82530036431.2844","78159776855.9577","75037538544.0408","85858646167.6245",
"Austria","AUT","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","9559766817.51937","11147605528.2658","13644273666.256","15787049922.7998","17399137417.5707","14742195438.0508","14352821650.3993","14467727899.4944","13389500722.0961","13889358206.9699","19815689950.4281","24102827601.219","26007803410.2307","25827837753.5101","32595386663.4394","33319365939.8939","36049725770.0977","33240693245.0018","35326635345.1391","43160024566.6712","41832583831.5571","37884203405.1189","38690429079.5909","38869687701.919","35936240321.6471","36225267768.6182","38005312368.3059","45775074807.1528","52262070710.143","55024769129.5875","59936662752.5646","70651377249.7414","75252497823.4062","65735746847.3632","64641056436.5001","71640791048.8328","68395172488.1367","70963139794.6473","73292112909.835","63751123948.039","67480034846.8134","70278076016.0707","76597902269.9372","73620685067.6862","70465767254.5216","79001280940.4639",
"Azerbaijan","AZE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1561933533.61814","1464297449.7293","97638888.8888889","281075000","151129936.305732","278803670.556248","331279786.121121","332580604.692009","370121478.418196","276820388.349515","279056772.46312","353162246.322345","463382020.160461","628449241.421444","719039381.296428","859318806.854242","1211327512.87217","1647243910.96609","2298807205.45278","2447499377.95472","2506728133.56591","2630365961.75763","2955448065.17312","3126577437.85851","3541756980.74716","2648740972.08667","1852729209.75121","1920462468.04555","2176529411.76471","2410470588.23529","2604941176.47059","3727705882.35294",
"Burundi","BDI","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","16331428.5714286","18544000","20174857.1428571","28385774.6232474","32778412.6984127","36111746.031746","36680579.7101449","43157777.7777778","50360000","72806666.6666667","63285555.5555556","70860000","83547777.7777778","90438945.6697149","77319355.1081781","84263816.389096","94531838.4864675","119821948.850761","105953915.73774","130127877.882609","133812151.47003","148352459.603444","93133560.2463719","79077429.9835255","86506532.4166973","82619976.1369005","54500412.8819158","94802299.9858096","92113341.6174259","91378496.5221094","94893712.3787587","95788227.3739989","91509292.4065903","86649686.5012655","104804589.203477","132769070.945652","132013380.985174","150665093.957248","155099457.632631","169067238.334057","187887952.719496","208355990.48842","206047290.700293","234025960.220458","273939176.111103","269320542.938433","247085766.623155","","","","","",
"Belgium","BEL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52813218390.8046","50725472312.7036","46496842580.0631","46946765947.9884","44694827428.726","41523865340.0785","40342826002.3229","43394458524.9413","51530124780.745","59406411226.5253","61216581533.3852","61314657349.4117","70922375577.2159","72388378038.6719","62426974247.0703","64214798756.6668","67661692084.6305","62635374936.9141","65550726755.3335","67270098564.588","58685798177.6953","58826808693.1519","62489218021.4119","66127311585.5686","65821518858.0391","64603639898.6772","79003622766.2778",
