"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","7681564.24581006","7779329.60893855","7808379.88826816","8112849.16201117","8727932.96089385","9012290.5027933","9546927.37430168","10597206.7039106","10451955.3072626","11005027.9329609","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","25842118915.9966","23988680240.9435","22969751650.9156","23251356728.4598","23555619704.0536","25946836499.1147","30673591085.28","35207653127.7379","37636625060.3139","44359255080.3249","51901161448.3054","29745628931.4622","30255285599.8783","29593683487.1015","32361977372.4342","33592152573.4397","37101865940.0926","35266150135.901","32285976864.0325","35720981482.4652","32456605503.2887","33818211836.8091","38781996749.4352","43218500372.9886","50091763234.4313","57711973563.4811","72527573227.223","86556249248.43","90973991434.2366","96715612688.7292","101373301344.74","111271548451.004","114070525002.841","125684755078.405","125331243129.337","121066937734.929","137188566504.755","119775496241.773","126770918262.413","135114656485.082","143726539407.663",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1566430377.77431","1689670422.857","1553454438.92967","1931964163.238","1996295152.82618","2934600240.17318","2516435541.86834","3637624914.24071","4156046327.81437","4227586231.5897","4855568547.88774","4595528497.15267","4537457433.16701","3948215004.64758","4663260071.07864","4954704011.36768","3979454536.18354","4845364933.61459","5395268749.2362","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","33292807805.1733","31797397844.4022","25775079845.0146","24151550515.7522","24728708070.7252","24342903294.7498","27282657205.7471","28726719257.888","26018401739.3007","29979171376.7851","29272250586.6525","29243939126.8889","24215298496.1369","21718034137.5572","27448858884.4328","30701689260.0508","31490853645.8179","32957483484.6507","33145089202.4165","29792114914.7314","34458230124.2534","53479361999.0911","57563112460.9321","61306244124.7936","75188046104.7688","90808525940.0948","105323861314.18","132669582718.836","122754418379.079","134124618068.079","142091667825.233","153374930431.673","165198193242.969","169990739479.566","156635331919.557","145057208833.506","142255096605.255","155246242011.819","169110791470.207","180192864505.745","185600432660.249",
"Angola","AGO","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368504825.790174","528873555.808731","688508306.952096","840031172.522658","387034655.565374","517163204.882735","728859048.232153","892609948.954978","1104099935.26016","1472209717.57715","1870877459.72595","2719244833.46004","3421449079.01718","4254580694.73061","4655175861.79946","5049272355.89768","6397310393.22262","7586925711.68409","8681098514.06252","10357914153.6656","7956609712.0786","4899903128.471","6908998965.72491","6696215421.89336","5463376658.55109","4884754984.0753","6541056480.27789",
"Albania","ALB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1165017048.02634","712413087.93456","732872453.029902","832541636.495293","853223432.031554","890950856.188222","957666990.964761","1233309073.68723","1475553858.65087","1517438117.23806","1575348051.13788","1831547564.4132","2168840425.96305","2022750507.74863","2141582328.47493","2349572529.28269","2312038171.93268","2499687704.64809","2644330678.80167","2252343371.04056","2354447509.91804","2476624685.13854","2793251547.37696","2832296168.98557","2915069419.23608","3228969140.26275",
"Andorra","AND","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16489859.5288098","16676063.1904326","",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","5134169600.59181","5455785067.48339","6316139024.85546","6934310872.32259","8180406283.40403","9312048061.15155","11105856754.5244","12614740331.5053","14631035493.3954","16209065524.694","17849859632.9717","19202633480.3303","21843336888.0807","24063508444.4792","26559356897.5566","28199632435.3462","31157600396.5227","33847755570.2388","39156713831.1518","45274750806.3824","44759828322.3604","50547305061.4799","66865261292.0015","57888703039.7424","43713260671.4235","44722094224.0708","51929872659.2894","57725495545.9216","64283943082.4218","65454796677.3209","72449249898.4987","69889768161.9347","71339567658.9144","75058232448.5191","76001521979.3141","80620105730.483","86092520607.2715","92942932370.5935","107507297748.578","122387836022.83","139909555831.371","154718963907.321","165036049967.427","139967788860.904","136521713583.727","139749884839.73","149905491194.021","147516728552.04","143359635041.055","138774300783.822","124430632809.171","133197704962.193","143599929904.382","149279682889.961",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519349.7084291","104727935.038324","120667127.814926","149566026.038438","170872972.193831","213896531.261801","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2212294756.42512","2356202630.78948","2393212655.06912","2511386686.31647","2578144332.21872","2653872836.95156","2770816071.72142","2971227393.47935","3034624014.47651","3117340904.70064","3296602435.8641","",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.46094","2420909129.36153","2570000119.25664","2871142801.33423","3043947528.98416","3617599855.69986","3815374911.48298","6280333430.11363","7410889160.41332","3452513642.2445","4171424983.67545","4591960171.9075","4358786867.90813","5399103642.90823","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","6601000166.75529","6750000170.51935","8653333202.14999","8993333404.72614","11330681729.6845","7369454003.07303","11483008746.543","12742527110.645","13706238946.0933","12161011111.1111","13084820500","13808477800","15269958100","15293015300","15702922200","12638962300","13300482400","12275651800","9974343869.19277","13177395614.839","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104716624.8996","31567304377.5225","33413631489.5722","35330279234.9601","30669352553.9863","34926920030.8981","33672221280.3468","23815684360.2064","23143624527.7572","23112116099.9841","33764842309.8261",
