,msa,base,action_x,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_cont,direct,indirect,total,ea_emp,ch_as_perc,13
0,"Abilene, TX Metropolitan Statistical Area",Dyess Air Force Base,Dyess Air Force Base,Gain,"(1,615)",(65),"1,925",129,310,64,0,374,358,732,"92,846",0.8%
1,,Employment,Employment,Realign,(10),0,0,0,(10),0,0,(10),(5),(15),"80,981",0.0%
2,"Akron, OH Metropolitan Statistical Area",Navy-Marine Corps Reserve Center Akron,Navy-Marine Corps Reserve Center Akron,Close,(26),0,0,0,(26),0,0,(26),(10),(36),"398,976",0.0%
3,,Armed Forces Reserve Center Akron,Armed Forces Reserve Center Akron,Gain,0,0,37,0,37,0,0,37,14,51,"398,976",0.0%
4,"Alamogordo, NM Micropolitan Statistical Area",Holloman Air Force Base,Holloman Air Force Base,Realign,(17),0,0,0,(17),0,0,(17),(11),(28),"27,515",-0.1%
5,"Albany, GA Metropolitan Statistical Area",Marine Corps Logistics Base Albany,Marine Corps Logistics Base Albany,Gain,(2),(42),1,193,(1),151,0,150,119,269,"79,160",0.3%
6,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Schenectady County Air Guard Station,Schenectady County Air Guard Station,Realign,(10),(9),0,0,(10),(9),0,(19),(19),(38),"529,819",0.0%
7,"Albemarle, NC Micropolitan Statistical Area","Niven U.S. Army Reserve Center,","Niven U.S. Army Reserve Center,",Close,(34),0,0,5,(34),5,0,(29),(13),(42),"26,102",-0.2%
8,"Albuquerque, NM Metropolitan Statistical Area",Jenkins Armed Forces Reserve Center Albuquerque,Jenkins Armed Forces Reserve Center Albuquerque,Close,(35),(1),0,0,(35),(1),0,(36),(29),(65),"454,397",0.0%
9,,Kirtland Air Force Base,Kirtland Air Force Base,Gain,(7),0,37,176,30,176,0,206,206,412,"454,397",0.1%
10,,Navy-Marine Corps Reserve Center Lehigh,Navy-Marine Corps Reserve Center Lehigh,Gain,0,0,8,0,8,0,0,8,3,11,"396,091",0.0%
11,"Altus, OK Micropolitan Statistical Area",Altus Air Force Base,Altus Air Force Base,Realign,(16),0,0,0,(16),0,0,(16),(10),(26),"16,463",-0.2%
12,"Anchorage, AK Metropolitan Statistical Area",Kulis Air Guard Station,Kulis Air Guard Station,Close,(218),(241),0,0,(218),(241),0,(459),(377),(836),"211,967",-0.4%
13,,Elmendorf Air Force Base,Elmendorf Air Force Base,Realign,"(1,499)",(65),397,233,"(1,102)",168,0,(934),(643),"(1,577)","211,967",-0.7%
14,,Fort Richardson,Fort Richardson,Realign,(86),(199),0,0,(86),(199),(1),(286),(244),(530),"211,967",-0.3%
15,"Anniston-Oxford, AL Metropolitan Statistical Area",Anniston Army Depot,Anniston Army Depot,Gain,0,(87),0,"1,121",0,"1,034",0,"1,034",766,"1,800","60,648",3.0%
16,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
17,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
18,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
19,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
20,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
21,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(241),0,0,0,(241),0,(241),(149),(390),"41,134",-0.9%
22,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
23,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
24,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
25,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
26,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
27,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(230),0,0,0,(230),0,(230),(194),(424),"512,393",-0.1%
28,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
29,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
30,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
31,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
32,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
33,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(53),0,0,0,(53),0,(53),(70),(123),"53,347",-0.2%
34,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
35,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
36,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
37,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
38,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
39,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(50),0,0,0,(50),0,(50),(40),(90),"1,383,332",0.0%
